Jeremy Lamb,230,510,56,181,64,88,252,77,42,30,50,580,2016,2.7,15.9,105
Michael Kidd-Gilchrist,33,61,3,7,20,29,45,9,3,3,8,89,2016,0.6,16.9,9
Frank Kaminsky,215,525,68,202,108,148,335,98,38,43,59,606,2016,3.3,12.4,126
Al Jefferson,245,505,0,0,72,111,301,70,30,41,34,562,2016,2.8,18.2,117
Spencer Hawes,124,306,38,102,54,65,244,109,22,27,58,340,2016,1.9,12.4,111
Aaron Harrison,5,19,3,10,5,12,15,2,6,0,4,18,2016,0,4.3,10
Tyler Hansbrough,32,71,2,3,38,65,89,8,12,7,12,104,2016,1,12.5,55
Jorge Gutierrez,6,11,0,2,10,11,7,17,3,0,6,22,2016,0.3,19.1,3
Troy Daniels,89,187,59,122,5,9,57,21,11,3,24,242,2016,1.1,14.9,40
Nicolas Batum,372,873,139,399,163,192,428,403,65,43,205,1046,2016,5,15.6,114
Mo Williams,132,302,36,102,38,42,72,98,14,5,57,338,2016,1.1,12.4,60
Tristan Thompson,247,420,0,0,149,242,738,62,38,51,61,643,2016,8.7,15.9,202
J.R. Smith,353,850,204,510,45,71,217,130,81,21,59,955,2016,5.5,12.4,204
Iman Shumpert,114,305,43,146,40,51,203,92,54,19,57,311,2016,1.7,8.4,119
Timofey Mozgov,203,359,1,7,68,95,337,33,22,57,71,475,2016,3.7,14.6,159
Kevin Love,409,977,158,439,258,314,762,186,58,41,142,1234,2016,8.5,19,159
Sasha Kaun,9,17,0,0,4,9,26,3,4,5,7,22,2016,0.2,12.3,11
James Jones,58,142,41,104,21,26,50,14,11,10,13,178,2016,1.2,11.6,50
Dahntay Jones,6,14,1,2,0,0,5,2,1,2,0,13,2016,0.1,10.3,6
Richard Jefferson,143,312,66,173,58,87,128,59,33,14,43,410,2016,2.7,9.7,129
LeBron James,737,1416,87,282,359,491,565,514,104,49,249,1920,2016,13.6,27.5,143
Kyrie Irving,394,879,84,261,169,191,157,249,56,18,124,1041,2016,5,19.9,107
Joe Harris,1,4,1,4,0,0,3,2,0,0,1,3,2016,0,3.4,1
Matthew Dellavedova,207,511,98,239,57,66,162,337,44,9,116,569,2016,3.8,11.3,178
Deron Williams,321,775,97,282,179,206,190,378,61,14,150,918,2016,3.7,14.6,155
Charlie Villanueva,125,327,47,172,22,24,152,24,18,15,31,319,2016,0.2,11.9,71
Dwight Powell,146,296,2,16,105,142,273,44,36,24,40,399,2016,3.1,16.8,118
Chandler Parsons,320,651,104,250,93,136,285,169,46,21,95,837,2016,4.3,16.2,114
Zaza Pachulia,219,470,0,3,212,276,718,128,64,22,119,650,2016,6,16.2,181
Dirk Nowitzki,498,1112,126,342,250,280,489,132,52,52,84,1372,2016,6.8,19,161
Salah Mejri,49,78,0,1,27,46,123,10,8,36,23,125,2016,1.3,16.8,54
JaVale McGee,77,134,0,1,18,36,133,3,5,26,21,172,2016,1.1,19.9,49
Wesley Matthews,331,854,189,525,126,146,238,151,78,17,78,977,2016,3.7,10.9,179
