Terrence Jones,PF,24,HOU,50
Dwight Howard,C,30,HOU,71
Chuck Hayes,C,32,HOU,2
Montrezl Harrell,PF,22,HOU,39
James Harden,SG,26,HOU,82
Andrew Goudelock,PG,27,HOU,8
Sam Dekker,SF,21,HOU,3
Clint Capela,C,21,HOU,77
Corey Brewer,SF,29,HOU,82
Patrick Beverley,PG,27,HOU,71
Michael Beasley,SF,27,HOU,20
Trevor Ariza,SF,30,HOU,81
Joseph Young,PG,23,IND,41
Shayne Whittington,PF,24,IND,7
Myles Turner,C,19,IND,60
Rodney Stuckey,PG,29,IND,58
Glenn Robinson III,SF,22,IND,45
C.J. Miles,SF,28,IND,64
Ian Mahinmi,C,29,IND,71
Solomon Hill,SF,24,IND,59
Jordan Hill,C,28,IND,73
George Hill,PG,29,IND,74
Paul George,SF,25,IND,81
Monta Ellis,SG,30,IND,81
Rakeem Christmas,PF,24,IND,1
Lavoy Allen,PF,26,IND,79
C.J. Wilcox,SG,25,LAC,23
Austin Rivers,SG,23,LAC,67
J.J. Redick,SG,31,LAC,75
Pablo Prigioni,PG,38,LAC,59
Paul Pierce,SF,38,LAC,68
Chris Paul,PG,30,LAC,74
Luc Mbah a Moute,PF,29,LAC,75
DeAndre Jordan,C,27,LAC,77
Wesley Johnson,SF,28,LAC,80
Blake Griffin,PF,26,LAC,35
Branden Dawson,PF,22,LAC,6
Jamal Crawford,SG,35,LAC,79
Jeff Ayres,C,28,LAC,17
Cole Aldrich,C,27,LAC,60
Nick Young,SG,30,LAL,54
Metta World Peace,SF,36,LAL,35
Lou Williams,SG,29,LAL,67
Robert Sacre,C,26,LAL,25
D'Angelo Russell,PG,19,LAL,80
Julius Randle,PF,21,LAL,81
Larry Nance Jr.,PF,23,LAL,63
Ryan Kelly,PF,24,LAL,36
Marcelo Huertas,PG,32,LAL,53
Roy Hibbert,C,29,LAL,81
Jordan Clarkson,SG,23,LAL,79
Kobe Bryant,SF,37,LAL,66
Anthony Brown,SF,23,LAL,29
Tarik Black,C,24,LAL,39
Brandon Bass,PF,30,LAL,66
Brandan Wright,PF,28,MEM,12
Elliot Williams,PG,26,MEM,5
Russ Smith,PG,24,MEM,15
Zach Randolph,PF,34,MEM,68
Xavier Munford,SG,23,MEM,14
Jarell Martin,PF,21,MEM,27
JaMychal Green,PF,25,MEM,78
Marc Gasol,C,31,MEM,52
Jordan Farmar,PG,29,MEM,12
Mike Conley,PG,28,MEM,56
Vince Carter,SG,39,MEM,60
Matt Barnes,SF,35,MEM,76
Tony Allen,SG,34,MEM,64
Jordan Adams,SG,21,MEM,2
Justise Winslow,SF,19,MIA,78
Hassan Whiteside,C,26,MIA,73
Dwyane Wade,SG,34,MIA,74
Amar'e Stoudemire,C,33,MIA,52
Josh Richardson,SG,22,MIA,52
Josh McRoberts,PF,28,MIA,42
Tyler Johnson,SG,23,MIA,36
Udonis Haslem,PF,35,MIA,37
Gerald Green,SG,30,MIA,69
Goran Dragic,PG,29,MIA,72
Luol Deng,PF,30,MIA,74
Chris Bosh,PF,31,MIA,53
Rashad Vaughn,SG,19,MIL,70
Greivis Vasquez,PG,29,MIL,23
Miles Plumlee,C,27,MIL,61
Jabari Parker,PF,20,MIL,76
Johnny O'Bryant,PF,22,MIL,66
Greg Monroe,C,25,MIL,79
Khris Middleton,SG,24,MIL,79
O.J. Mayo,SG,28,MIL,41
Damien Inglis,SF,20,MIL,20
John Henson,C,25,MIL,57
Tyler Ennis,PG,21,MIL,46
Chris Copeland,PF,31,MIL,24
Michael Carter-Williams,PG,24,MIL,54
Jerryd Bayless,SG,27,MIL,52
Giannis Antetokounmpo,PG,21,MIL,80
Andrew Wiggins,SF,20,MIN,81
Karl-Anthony Towns,C,20,MIN,82
Greg Smith,PF,25,MIN,18
Damjan Rudez,SF,29,MIN,33
Ricky Rubio,PG,25,MIN,76
Tayshaun Prince,SF,35,MIN,77
Nikola Pekovic,C,30,MIN,12
Adreian Payne,PF,24,MIN,52
Shabazz Muhammad,SF,23,MIN,82
Zach LaVine,SG,20,MIN,82
Tyus Jones,PG,19,MIN,37
Kevin Garnett,PF,39,MIN,38
Gorgui Dieng,C,26,MIN,82
Nemanja Bjelica,PF,27,MIN,60
Nate Robinson,PG,31,NOP,2
Kendrick Perkins,C,31,NOP,37
Jrue Holiday,PG,25,NOP,65
Jordan Hamilton,SF,25,NOP,11
Eric Gordon,SG,27,NOP,45
Alonzo Gee,SF,28,NOP,73
Tyreke Evans,SG,26,NOP,25
Toney Douglas,PG,29,NOP,61
Bryce Dejean-Jones,SG,23,NOP,14
Anthony Davis,PF,22,NOP,61
Dante Cunningham,SF,28,NOP,80
Norris Cole,PG,27,NOP,45
Luke Babbitt,SF,26,NOP,47
Omer Asik,C,29,NOP,68
Ryan Anderson,PF,27,NOP,66
Alexis Ajinca,C,27,NOP,59
Derrick Williams,SF,24,NYK,80
Sasha Vujacic,SG,31,NYK,61
Lance Thomas,PF,27,NYK,59
Kevin Seraphin,C,26,NYK,48
Kristaps Porzingis,PF,20,NYK,72
Kyle O'Quinn,PF,25,NYK,65
Robin Lopez,C,27,NYK,82
Jerian Grant,PG,23,NYK,76
Langston Galloway,PG,24,NYK,82
Cleanthony Early,SF,24,NYK,17
Jose Calderon,PG,34,NYK,72
Carmelo Anthony,SF,31,NYK,72
Thanasis Antetokounmpo,SF,23,NYK,2
Lou Amundson,PF,33,NYK,29
Arron Afflalo,SG,30,NYK,71
Russell Westbrook,PG,27,OKC,80
Dion Waiters,SG,24,OKC,78
Kyle Singler,SF,27,OKC,68
Andre Roberson,SG,24,OKC,70
Cameron Payne,PG,21,OKC,57
Anthony Morrow,SG,30,OKC,68
Nazr Mohammed,C,38,OKC,5
Mitch McGary,PF,23,OKC,20
Enes Kanter,C,23,OKC,82
Serge Ibaka,PF,26,OKC,78
Josh Huestis,PF,24,OKC,5
Kevin Durant,SF,27,OKC,72
Nick Collison,PF,35,OKC,59
Steven Adams,C,22,OKC,80
C.J. Watson,PG,31,ORL,33
Nikola Vucevic,C,25,ORL,65
Jason Smith,C,29,ORL,76
Elfrid Payton,PG,21,ORL,73
Victor Oladipo,SG,23,ORL,72
Andrew Nicholson,PF,26,ORL,56
Shabazz Napier,PG,24,ORL,55
Devyn Marble,SG,23,ORL,28
Mario Hezonja,SF,20,ORL,79
Aaron Gordon,PF,20,ORL,78
Evan Fournier,SF,23,ORL,79
Dewayne Dedmon,C,26,ORL,58
Keith Appling,PG,23,ORL,5
Tony Wroten,PG,22,PHI,8
Christian Wood,PF,20,PHI,17
Hollis Thompson,SG,24,PHI,77
Nik Stauskas,SG,22,PHI,73
Jahlil Okafor,C,20,PHI,53
Nerlens Noel,C,21,PHI,67
T.J. McConnell,PG,23,PHI,81
Kendall Marshall,PG,24,PHI,30
Carl Landry,PF,32,PHI,36
Richaun Holmes,PF,22,PHI,51
Jerami Grant,SF,21,PHI,77
Robert Covington,SF,25,PHI,67
Isaiah Canaan,SG,24,PHI,77
Elton Brand,C,36,PHI,17
Alan Williams,PF,23,PHO,10
T.J. Warren,SF,22,PHO,47
P.J. Tucker,SF,30,PHO,82
Mirza Teletovic,PF,30,PHO,79
Ronnie Price,PG,32,PHO,62
Jon Leuer,PF,26,PHO,67
Alex Len,C,22,PHO,78
Brandon Knight,SG,24,PHO,52
Cory Jefferson,PF,25,PHO,8
Archie Goodwin,PG,21,PHO,57
Tyson Chandler,C,33,PHO,66
Lorenzo Brown,PG,25,PHO,8
Devin Booker,SG,19,PHO,76
Eric Bledsoe,PG,26,PHO,31
Noah Vonleh,PF,20,POR,78
Mason Plumlee,C,25,POR,82
Luis Montero,SG,22,POR,12
C.J. McCollum,SG,24,POR,80
Damian Lillard,PG,25,POR,75
Meyers Leonard,PF,23,POR,61
Chris Kaman,C,33,POR,16
Gerald Henderson,SG,28,POR,72
Maurice Harkless,SF,22,POR,78
Ed Davis,PF,26,POR,81
Allen Crabbe,SG,23,POR,81
Pat Connaughton,SG,23,POR,34
Al-Farouq Aminu,SF,25,POR,82
Cliff Alexander,PF,20,POR,8
